,timestamp,fromba,Power consumed locally (MWh)
0,2023-02-13,BPAT,7566
1,2023-02-13,CISO,2626
2,2023-02-13,TIDC,2839
3,2023-02-14,BPAT,2509
4,2023-02-14,CISO,5171
5,2023-02-14,TIDC,3549
6,2023-02-15,BPAT,0
7,2023-02-15,CISO,12617
8,2023-02-15,TIDC,4677
9,2023-02-16,BPAT,6048
10,2023-02-16,CISO,2756
11,2023-02-16,TIDC,2387
12,2023-02-17,BPAT,5520
13,2023-02-17,CISO,5586
14,2023-02-17,TIDC,1240
15,2023-02-18,BPAT,10510
16,2023-02-18,CISO,0
17,2023-02-18,TIDC,4005
18,2023-02-19,BPAT,16421
19,2023-02-19,CISO,0
20,2023-02-19,TIDC,4176
21,2023-02-20,BPAT,14764
22,2023-02-20,CISO,0
23,2023-02-20,TIDC,5330
24,2023-02-21,BPAT,10934
25,2023-02-21,CISO,0
26,2023-02-21,TIDC,4097
27,2023-02-22,BPAT,0
28,2023-02-22,CISO,8389
29,2023-02-22,TIDC,5601
30,2023-02-23,BPAT,0
31,2023-02-23,CISO,12077
32,2023-02-23,TIDC,5786
33,2023-02-24,BPAT,0
34,2023-02-24,CISO,9973
35,2023-02-24,TIDC,4791
36,2023-02-25,BPAT,0
37,2023-02-25,CISO,7440
38,2023-02-25,TIDC,2985
39,2023-02-26,BPAT,10722
40,2023-02-26,CISO,0
41,2023-02-26,TIDC,3701
42,2023-02-27,BPAT,7062
43,2023-02-27,CISO,2962
44,2023-02-27,TIDC,3162
45,2023-02-28,BPAT,0
46,2023-02-28,CISO,8680
47,2023-02-28,TIDC,3943
48,2023-03-01,BPAT,0
49,2023-03-01,CISO,1017
50,2023-03-01,TIDC,1822
51,2023-03-02,BPAT,7808
52,2023-03-02,CISO,0
53,2023-03-02,TIDC,1651
54,2023-03-03,BPAT,672
55,2023-03-03,CISO,0
56,2023-03-03,TIDC,2583
57,2023-03-04,BPAT,0
58,2023-03-04,CISO,2828
59,2023-03-04,TIDC,3016
60,2023-03-05,BPAT,0
61,2023-03-05,CISO,0
62,2023-03-05,TIDC,2720
63,2023-03-06,BPAT,0
64,2023-03-06,CISO,5828
65,2023-03-06,TIDC,0
66,2023-03-07,BPAT,0
67,2023-03-07,CISO,3448
68,2023-03-07,TIDC,0
69,2023-03-08,BPAT,0
70,2023-03-08,CISO,6547
71,2023-03-08,TIDC,51
72,2023-03-09,BPAT,1712
73,2023-03-09,CISO,0
74,2023-03-09,TIDC,0
75,2023-03-10,BPAT,1866
76,2023-03-10,CISO,0
77,2023-03-10,TIDC,0
78,2023-03-11,BPAT,798
79,2023-03-11,CISO,0
80,2023-03-11,TIDC,1034
81,2023-03-12,BPAT,0
82,2023-03-12,CISO,3646
83,2023-03-12,TIDC,1760
84,2023-03-13,BPAT,0
85,2023-03-13,CISO,0
86,2023-03-13,TIDC,1169
87,2023-03-14,BPAT,3
88,2023-03-14,CISO,0
89,2023-03-14,TIDC,921
90,2023-03-15,BPAT,747
91,2023-03-15,CISO,1146
92,2023-03-15,TIDC,1012
93,2023-03-16,BPAT,0
94,2023-03-16,CISO,1157
95,2023-03-16,TIDC,1613
96,2023-03-17,BPAT,0
97,2023-03-17,CISO,654
98,2023-03-17,TIDC,528
99,2023-03-18,BPAT,284
100,2023-03-18,CISO,0
101,2023-03-18,TIDC,0
102,2023-03-19,BPAT,2235
103,2023-03-19,CISO,0
104,2023-03-19,TIDC,0
105,2023-03-20,BPAT,0
106,2023-03-20,CISO,2762
107,2023-03-20,TIDC,416
108,2023-03-21,BPAT,4120
109,2023-03-21,CISO,0
110,2023-03-21,TIDC,1172
111,2023-03-22,BPAT,0
112,2023-03-22,CISO,3990
113,2023-03-22,TIDC,960
114,2023-03-23,BPAT,3408
115,2023-03-23,CISO,913
116,2023-03-23,TIDC,0
117,2023-03-24,BPAT,719
118,2023-03-24,CISO,7245
119,2023-03-24,TIDC,22
120,2023-03-25,BPAT,0
121,2023-03-25,CISO,12006
122,2023-03-25,TIDC,7
123,2023-03-26,BPAT,0
124,2023-03-26,CISO,15256
125,2023-03-26,TIDC,111
126,2023-03-27,BPAT,0
127,2023-03-27,CISO,15237
128,2023-03-27,TIDC,1913
129,2023-03-28,BPAT,0
130,2023-03-28,CISO,7613
131,2023-03-28,TIDC,1620
132,2023-03-29,BPAT,0
133,2023-03-29,CISO,11184
134,2023-03-29,TIDC,1917
135,2023-03-30,BPAT,5147
136,2023-03-30,CISO,1165
137,2023-03-30,TIDC,386
138,2023-03-31,BPAT,4626
139,2023-03-31,CISO,459
140,2023-03-31,TIDC,1374
141,2023-04-01,BPAT,584
142,2023-04-01,CISO,6697
143,2023-04-01,TIDC,36
144,2023-04-02,BPAT,0
145,2023-04-02,CISO,12338
146,2023-04-02,TIDC,764
147,2023-04-03,BPAT,0
148,2023-04-03,CISO,7636
149,2023-04-03,TIDC,1185
150,2023-04-04,BPAT,0
151,2023-04-04,CISO,3715
152,2023-04-04,TIDC,0
153,2023-04-05,BPAT,0
154,2023-04-05,CISO,2031
155,2023-04-05,TIDC,433
156,2023-04-06,BPAT,0
157,2023-04-06,CISO,0
158,2023-04-06,TIDC,1026
159,2023-04-07,BPAT,0
160,2023-04-07,CISO,12541
161,2023-04-07,TIDC,1877
162,2023-04-08,BPAT,0
163,2023-04-08,CISO,13695
164,2023-04-08,TIDC,1918
165,2023-04-09,BPAT,0
166,2023-04-09,CISO,12864
167,2023-04-09,TIDC,1087
168,2023-04-10,BPAT,0
169,2023-04-10,CISO,14779
170,2023-04-10,TIDC,0
171,2023-04-11,BPAT,0
172,2023-04-11,CISO,15808
173,2023-04-11,TIDC,0
174,2023-04-12,BPAT,0
175,2023-04-12,CISO,22714
176,2023-04-12,TIDC,0
177,2023-04-13,BPAT,0
178,2023-04-13,CISO,22756
179,2023-04-13,TIDC,0
180,2023-04-14,BPAT,0
181,2023-04-14,CISO,27215
182,2023-04-14,TIDC,0
183,2023-04-15,BPAT,0
184,2023-04-15,CISO,23787
185,2023-04-15,TIDC,0
186,2023-04-16,BPAT,0
187,2023-04-16,CISO,22025
188,2023-04-16,TIDC,0
189,2023-04-17,BPAT,0
