hour,device_id,Temperature (C) - median,altitude_m - median,gas_ohm - median,pressure_hpa - median,CO2 (ppm) - median,Relative Humidity (%) - median,PM2.5 - median,PM10.0 - median,Battery (V) - median,Battery (%) - median
2024-01-31 15:00:00,Reids_Temp_Sensor,,,,,,,,,4.12875,98.3711
2024-01-31 16:00:00,Reids_Temp_Sensor,,,,,,,,,4.1425,95.1289
2024-01-31 17:00:00,Reids_Temp_Sensor,,,,,,,,,4.106875,94.4961
2024-01-31 18:00:00,Reids_Temp_Sensor,,,,,,,,,4.12,94.1797
2024-01-31 19:00:00,Reids_Temp_Sensor,,,,,,,,,4.09,97.0273
2024-01-31 20:00:00,Reids_Temp_Sensor,,,,,,,,,4.173125,105.252
2024-01-31 22:00:00,Reids_Temp_Sensor,18.072,1951.53,,799.782,,31.7541,,,4.09875,104.6995
2024-02-01 15:00:00,Reids_Temp_Sensor,,,,,,,,,0.0,0.0
2024-02-01 16:00:00,Reids_Temp_Sensor,16.8288,2002.71,,794.719,,32.0824,,,4.1325,98.4492
2024-02-01 17:00:00,Reids_Temp_Sensor,17.30685,2000.46,,794.941,,31.28445,,,4.091875,93.0703
2024-02-01 18:00:00,Reids_Temp_Sensor,17.6054,1995.685,27571.0,795.4125,,30.9229,,,4.1425,92.1211
2024-02-01 19:00:00,Reids_Temp_Sensor,17.7769,1994.92,27993.0,795.488,,30.9289,,,4.14,96.3945
2024-02-01 20:00:00,Reids_Temp_Sensor,17.8166,1994.88,29556.5,795.491,,30.4608,,,4.1425,94.8125
2024-02-01 21:00:00,Reids_Temp_Sensor,17.76905,1998.495,28114.5,795.1355,,31.4691,,,4.138125,94.6523
2024-02-01 22:00:00,Reids_Temp_Sensor,17.9487,1999.97,28256.0,794.99,,30.8458,,,4.13125,94.4961
2024-02-01 23:00:00,Reids_Temp_Sensor,17.6596,1998.675,29006.0,795.117,,31.12185,,,4.138125,94.3359
2024-02-02 00:00:00,Reids_Temp_Sensor,16.8147,1995.655,32056.0,795.4155,,31.3601,,,4.13125,96.15625
2024-02-02 01:00:00,Reids_Temp_Sensor,16.57435,1993.66,32501.5,795.6125,,31.526,,,4.148125,94.4961
2024-02-02 02:00:00,Reids_Temp_Sensor,15.8486,1988.34,32539.0,796.138,,32.7205,,,4.135,94.1797
2024-02-02 03:00:00,Reids_Temp_Sensor,15.53195,1984.855,33498.0,796.4825,,32.5148,,,4.145625,94.1797
2024-02-02 04:00:00,Reids_Temp_Sensor,15.3288,1982.18,33551.0,796.747,,32.5909,,,4.1375,94.1797
2024-02-02 05:00:00,Reids_Temp_Sensor,15.06615,1979.565,32729.0,797.0055,,33.0201,,,4.150625,94.1797
2024-02-02 06:00:00,Reids_Temp_Sensor,14.38695,1979.01,33943.5,797.06,,32.94865,,,4.128125,94.1797
2024-02-02 07:00:00,Reids_Temp_Sensor,13.8081,1976.21,35003.0,797.337,,32.795,,,4.14,94.1797
2024-02-02 08:00:00,Reids_Temp_Sensor,13.33695,1975.245,35311.0,797.433,,33.0204,,,4.143125,94.0195
2024-02-02 09:00:00,Reids_Temp_Sensor,13.11895,1974.855,34430.0,797.4715,,33.22615,,,4.1425,94.0195
2024-02-02 10:00:00,Reids_Temp_Sensor,12.9362,1974.88,34040.0,797.469,,33.0914,,,4.13375,93.8633
2024-02-02 11:00:00,Reids_Temp_Sensor,12.7473,1974.97,33985.0,797.4595,,33.0006,,,4.143125,93.8633
2024-02-02 12:00:00,Reids_Temp_Sensor,12.62305,1974.065,33807.5,797.5495,,32.98535,,,4.143125,93.8633
2024-02-02 13:00:00,Reids_Temp_Sensor,12.815,1970.76,33286.0,797.876,,32.2217,,,4.12875,93.8633
2024-02-02 14:00:00,Reids_Temp_Sensor,14.21465,1966.825,31363.0,798.266,,31.0647,,,4.125625,93.8633
2024-02-02 15:00:00,Reids_Temp_Sensor,14.33285,1962.26,29828.5,798.7175,,31.62705,,,4.14125,93.8633
2024-02-02 16:00:00,Reids_Temp_Sensor,14.4034,1959.29,29587.0,799.013,,31.8139,,,4.14125,93.8633
2024-02-02 17:00:00,Reids_Temp_Sensor,14.50735,1955.15,30031.0,799.4225,,31.6967,,,4.136875,93.7031
2024-02-02 18:00:00,Reids_Temp_Sensor,14.6661,1952.875,29818.0,799.6485,,31.6736,,,4.135625,93.7031
2024-02-02 19:00:00,Reids_Temp_Sensor,14.7474,1953.58,29279.0,799.578,,31.6679,,,4.13625,93.7031
2024-02-02 20:00:00,Reids_Temp_Sensor,14.8329,1957.12,29126.5,799.227,,31.42215,,,4.143125,93.7031
2024-02-02 21:00:00,Reids_Temp_Sensor,14.89035,1956.545,24727.0,799.284,,32.06935,,,4.1325,93.7031
2024-02-02 22:00:00,Reids_Temp_Sensor,15.0148,1953.71,24969.0,799.565,,31.9049,,,4.125,93.7031
2024-02-02 23:00:00,Reids_Temp_Sensor,14.91065,1947.43,26654.0,800.188,,31.6869,,,4.115625,93.5469
2024-02-03 00:00:00,Reids_Temp_Sensor,15.66115,1947.17,26378.0,800.214,,30.87185,,,4.13,93.7031
2024-02-03 01:00:00,Reids_Temp_Sensor,21.5224,1945.84,13261.0,800.346,,44.58745,,,4.144375,101.535
2024-02-03 02:00:00,Reids_Temp_Sensor,16.4343,1938.29,13118.0,801.095,,32.9674,,,4.1425,98.293
2024-02-03 03:00:00,Reids_Temp_Sensor,15.7097,1937.36,20808.0,801.188,,31.4649,,,4.12875,93.7031
2024-02-03 04:00:00,Reids_Temp_Sensor,15.61075,1935.895,23763.5,801.333,,30.9843,,,4.09375,90.6992
2024-02-03 05:00:00,Reids_Temp_Sensor,15.7431,1932.33,23892.0,801.688,,31.8982,,,4.09,88.6406
2024-02-03 06:00:00,Reids_Temp_Sensor,15.166,1927.015,27562.0,802.216,,30.30885,,,4.0925,88.2109
2024-02-03 07:00:00,Reids_Temp_Sensor,14.30075,1926.065,31456.5,802.3105,,29.8989,,,4.0875,88.13865
2024-02-03 08:00:00,Reids_Temp_Sensor,13.7679,1925.46,32716.0,802.37,,29.9127,,,4.085,87.3516
2024-02-03 09:00:00,Reids_Temp_Sensor,13.4434,1924.78,33051.0,802.438,,29.9865,,,4.085,87.0625
2024-02-03 10:00:00,Reids_Temp_Sensor,13.17005,1922.565,33181.0,802.658,,29.88,,,4.0825,86.918
2024-02-03 11:00:00,Reids_Temp_Sensor,12.9728,1922.08,33392.0,802.706,,30.0948,,,4.075,86.4883
2024-02-03 12:00:00,Reids_Temp_Sensor,12.81635,1923.155,33551.0,802.5995,,30.07865,,,4.074375,86.0586
2024-02-03 13:00:00,Reids_Temp_Sensor,12.62795,1922.22,33753.5,802.692,,30.0074,,,4.07375,85.9141
2024-02-03 14:00:00,Reids_Temp_Sensor,13.7403,1918.91,24404.0,803.021,,29.6354,,,4.075,85.9141
2024-02-03 15:00:00,Reids_Temp_Sensor,13.2593,1914.565,27698.0,803.454,,29.7397,,,4.07125,86.0586
2024-02-03 16:00:00,Reids_Temp_Sensor,13.2306,1911.655,29289.0,803.744,,29.0859,,,4.07125,85.9141
2024-02-03 17:00:00,Reids_Temp_Sensor,13.2019,1908.94,30182.0,804.015,,29.0685,,,4.07125,85.9141
2024-02-03 18:00:00,Reids_Temp_Sensor,13.2261,1908.37,30521.0,804.0715,,29.09325,,,4.07,85.9141
2024-02-03 19:00:00,Reids_Temp_Sensor,13.1787,1911.09,30532.0,803.8005,,29.3259,,,4.07125,85.7695
2024-02-03 20:00:00,Reids_Temp_Sensor,13.2085,1915.83,30378.0,803.328,,29.5317,,,4.07125,85.9141
2024-02-03 21:00:00,Reids_Temp_Sensor,13.15595,1920.415,30312.0,802.8725,,29.85085,,,4.07,85.9141
2024-02-03 22:00:00,Reids_Temp_Sensor,13.437,1922.36,27092.0,802.679,,31.62525,,,4.09375,86.2031
2024-02-03 23:00:00,Reids_Temp_Sensor,26.8609,1917.88,9038.0,803.125,,31.977,,,4.09,95.6016
2024-02-04 00:00:00,Reids_Temp_Sensor,15.57285,1922.31,25522.5,802.6835,,30.7273,,,4.076875,87.4922
2024-02-04 01:00:00,Reids_Temp_Sensor,15.7259,1922.47,25907.0,802.668,,30.9512,,,4.10125,87.9258
2024-02-04 02:00:00,Reids_Temp_Sensor,15.9106,1924.45,26312.0,802.4705,,30.8954,,,4.1075,88.8008
2024-02-04 03:00:00,Reids_Temp_Sensor,15.5452,1924.84,27285.0,802.432,,30.9288,,,4.14125,91.1719
2024-02-04 04:00:00,Reids_Temp_Sensor,16.09115,1924.63,24475.5,802.4535,,30.3727,,,4.10875,92.2813
2024-02-04 05:00:00,Reids_Temp_Sensor,15.9035,1923.725,25422.0,802.543,,30.3096,,,4.14625,94.0195
2024-02-04 06:00:00,Reids_Temp_Sensor,15.0382,1929.08,28370.0,802.011,,29.7911,,,4.145,95.4453
2024-02-04 07:00:00,Reids_Temp_Sensor,14.14465,1930.87,30160.0,801.833,,29.9501,,,4.14375,94.9688
2024-02-04 08:00:00,Reids_Temp_Sensor,13.442,1935.38,31096.0,801.3845,,30.40855,,,4.170625,95.68165
2024-02-04 09:00:00,Reids_Temp_Sensor,12.982,1940.21,31587.0,800.905,,30.8449,,,4.14875,95.7617
2024-02-04 10:00:00,Reids_Temp_Sensor,12.7205,1943.755,31445.0,800.5525,,31.1454,,,4.144375,95.918
2024-02-04 11:00:00,Reids_Temp_Sensor,12.63165,1952.885,31433.0,799.6475,,31.29355,,,4.14375,95.6016
2024-02-04 12:00:00,Reids_Temp_Sensor,12.5333,1957.69,31445.0,799.171,,31.2341,,,4.14875,95.2852
2024-02-04 13:00:00,Reids_Temp_Sensor,12.31885,1963.38,31468.0,798.607,,31.44365,,,4.169375,95.2852
2024-02-04 14:00:00,Reids_Temp_Sensor,12.32285,1967.185,31421.0,798.231,,31.1881,,,4.1625,95.2852
2024-02-04 15:00:00,Reids_Temp_Sensor,14.298,1971.52,27919.0,797.802,,29.6967,,,4.16625,95.4453
2024-02-04 16:00:00,Reids_Temp_Sensor,14.3956,1977.74,27338.0,797.186,,30.5488,,,4.16,95.4453
2024-02-04 17:00:00,Reids_Temp_Sensor,14.61175,1980.395,27956.0,796.923,,29.8845,,,4.149375,95.2852
2024-02-04 18:00:00,Reids_Temp_Sensor,14.9257,1984.76,18664.0,796.491,,31.8874,,,4.0775,95.2852
2024-02-04 19:00:00,Reids_Temp_Sensor,15.071,1992.61,21335.5,795.716,,31.4582,,,4.07375,87.7813
2024-02-04 20:00:00,Reids_Temp_Sensor,15.1254,2002.71,22756.5,794.7185,,31.20415,,,4.103125,87.7813
2024-02-04 21:00:00,Reids_Temp_Sensor,15.4394,2010.17,21868.0,793.984,,32.0761,,,4.0725,93.8633
2024-02-04 22:00:00,Reids_Temp_Sensor,15.5091,2013.67,23973.0,793.639,,31.5785,,,4.0725,87.4922
2024-02-04 23:00:00,Reids_Temp_Sensor,15.6841,2011.56,24355.0,793.846,,32.16495,,,4.065625,87.3516
2024-02-05 00:00:00,Reids_Temp_Sensor,16.223,2012.31,21142.5,793.772,,34.456,,,3.7925,64.4824
2024-02-05 01:00:00,Reids_Temp_Sensor,16.92875,2013.665,13616.5,793.639,,33.7542,,,3.725,32.76565
2024-02-05 02:00:00,Reids_Temp_Sensor,16.5132,2015.34,17601.0,793.474,,34.9592,,,3.69625,21.3789
2024-02-05 03:00:00,Reids_Temp_Sensor,16.63935,2013.25,18967.0,793.679,,34.39585,,,3.66125,9.609375
2024-02-05 04:00:00,Reids_Temp_Sensor,16.5673,2013.66,21445.0,793.64,,33.8056,,,3.6325,4.63672
2024-02-05 05:00:00,Reids_Temp_Sensor,16.49075,2009.315,22145.0,794.0675,,33.5956,,,3.605625,2.68359
2024-02-05 06:00:00,Reids_Temp_Sensor,15.7163,2004.045,23663.0,794.587,,33.2239,,,3.5775,2.05469
2024-02-05 07:00:00,Reids_Temp_Sensor,15.0634,1999.43,25361.0,795.042,,33.106,,,3.54875,1.66406
2024-02-05 08:00:00,Reids_Temp_Sensor,14.5053,1998.655,26478.0,795.1195,,33.2681,,,3.510625,1.17578
2024-02-05 09:00:00,Reids_Temp_Sensor,13.92455,1993.34,27232.0,795.6435,,33.607,,,3.46875,0.6093755
2024-02-05 10:00:00,Reids_Temp_Sensor,13.5771,1987.42,27863.0,796.229,,33.8047,,,3.4325,0.152344
2024-02-05 11:00:00,Reids_Temp_Sensor,13.2655,1986.14,28505.0,796.354,,33.9636,,,3.285,0.03125
2024-02-05 14:00:00,Reids_Temp_Sensor,14.5308,1971.755,22843.5,797.7775,,33.2224,,,3.60375,2.246095
2024-02-05 15:00:00,Reids_Temp_Sensor,14.9089,1968.28,25254.0,798.122,,32.6264,,,3.71875,8.58203
2024-02-05 16:00:00,Reids_Temp_Sensor,15.16435,1965.2,25851.5,798.4275,,31.88155,,,3.81,21.3789
2024-02-05 17:00:00,Reids_Temp_Sensor,15.3211,1965.255,25088.0,798.421,,32.41025,,,3.97125,52.5039
2024-02-05 18:00:00,Reids_Temp_Sensor,15.5025,1962.73,25088.0,798.671,,32.2188,,,4.075,78.1367
2024-02-05 19:00:00,Reids_Temp_Sensor,15.59505,1963.015,25021.5,798.6435,,32.3112,,,4.16875,92.12305
2024-02-05 20:00:00,Reids_Temp_Sensor,15.64885,1967.495,21079.0,798.1995,,32.5153,,,4.2275,102.563
2024-02-05 21:00:00,Reids_Temp_Sensor,15.6417,1970.55,22239.0,797.896,,32.6998,,,4.23,104.777
2024-02-05 22:00:00,Reids_Temp_Sensor,15.64445,1966.53,22683.0,798.295,,32.78805,,,4.21,103.512
2024-02-05 23:00:00,Reids_Temp_Sensor,15.6667,1967.715,23690.0,798.1775,,32.64545,,,4.20375,102.406
