,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
0,2024-02-11,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1612,megawatthours,2024-02-11
1,2024-02-11,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22690,megawatthours,2024-02-11
2,2024-02-11,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,366,megawatthours,2024-02-11
3,2024-02-11,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,19728,megawatthours,2024-02-11
4,2024-02-10,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,18663,megawatthours,2024-02-10
5,2024-02-10,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,366,megawatthours,2024-02-10
6,2024-02-10,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,21963,megawatthours,2024-02-10
7,2024-02-10,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1702,megawatthours,2024-02-10
8,2024-02-09,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,364,megawatthours,2024-02-09
9,2024-02-09,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1365,megawatthours,2024-02-09
10,2024-02-09,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22211,megawatthours,2024-02-09
11,2024-02-09,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,19171,megawatthours,2024-02-09
12,2024-02-08,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,363,megawatthours,2024-02-08
13,2024-02-08,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,21357,megawatthours,2024-02-08
14,2024-02-08,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,20949,megawatthours,2024-02-08
15,2024-02-08,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,450,megawatthours,2024-02-08
16,2024-02-07,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22587,megawatthours,2024-02-07
17,2024-02-07,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,367,megawatthours,2024-02-07
18,2024-02-07,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,230,megawatthours,2024-02-07
19,2024-02-07,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,20872,megawatthours,2024-02-07
20,2024-02-06,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,19565,megawatthours,2024-02-06
21,2024-02-06,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22988,megawatthours,2024-02-06
22,2024-02-06,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,802,megawatthours,2024-02-06
23,2024-02-06,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,348,megawatthours,2024-02-06
24,2024-02-05,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,22917,megawatthours,2024-02-05
25,2024-02-05,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,19060,megawatthours,2024-02-05
26,2024-02-05,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,156,megawatthours,2024-02-05
27,2024-02-05,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,688,megawatthours,2024-02-05
28,2024-02-04,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,154,megawatthours,2024-02-04
29,2024-02-04,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,17543,megawatthours,2024-02-04
30,2024-02-04,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,651,megawatthours,2024-02-04
31,2024-02-04,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,21841,megawatthours,2024-02-04
32,2024-02-03,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,21024,megawatthours,2024-02-03
33,2024-02-03,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,700,megawatthours,2024-02-03
34,2024-02-03,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,17550,megawatthours,2024-02-03
