,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation,hourly_units,hourly,daily_units,daily
time,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,iso8601,"['2024-02-14T00:00', '2024-02-14T01:00', '2024-02-14T02:00', '2024-02-14T03:00', '2024-02-14T04:00', '2024-02-14T05:00', '2024-02-14T06:00', '2024-02-14T07:00', '2024-02-14T08:00', '2024-02-14T09:00', '2024-02-14T10:00', '2024-02-14T11:00', '2024-02-14T12:00', '2024-02-14T13:00', '2024-02-14T14:00', '2024-02-14T15:00', '2024-02-14T16:00', '2024-02-14T17:00', '2024-02-14T18:00', '2024-02-14T19:00', '2024-02-14T20:00', '2024-02-14T21:00', '2024-02-14T22:00', '2024-02-14T23:00', '2024-02-15T00:00', '2024-02-15T01:00', '2024-02-15T02:00', '2024-02-15T03:00', '2024-02-15T04:00', '2024-02-15T05:00', '2024-02-15T06:00', '2024-02-15T07:00', '2024-02-15T08:00', '2024-02-15T09:00', '2024-02-15T10:00', '2024-02-15T11:00', '2024-02-15T12:00', '2024-02-15T13:00', '2024-02-15T14:00', '2024-02-15T15:00', '2024-02-15T16:00', '2024-02-15T17:00', '2024-02-15T18:00', '2024-02-15T19:00', '2024-02-15T20:00', '2024-02-15T21:00', '2024-02-15T22:00', '2024-02-15T23:00', '2024-02-16T00:00', '2024-02-16T01:00', '2024-02-16T02:00', '2024-02-16T03:00', '2024-02-16T04:00', '2024-02-16T05:00', '2024-02-16T06:00', '2024-02-16T07:00', '2024-02-16T08:00', '2024-02-16T09:00', '2024-02-16T10:00', '2024-02-16T11:00', '2024-02-16T12:00', '2024-02-16T13:00', '2024-02-16T14:00', '2024-02-16T15:00', '2024-02-16T16:00', '2024-02-16T17:00', '2024-02-16T18:00', '2024-02-16T19:00', '2024-02-16T20:00', '2024-02-16T21:00', '2024-02-16T22:00', '2024-02-16T23:00', '2024-02-17T00:00', '2024-02-17T01:00', '2024-02-17T02:00', '2024-02-17T03:00', '2024-02-17T04:00', '2024-02-17T05:00', '2024-02-17T06:00', '2024-02-17T07:00', '2024-02-17T08:00', '2024-02-17T09:00', '2024-02-17T10:00', '2024-02-17T11:00', '2024-02-17T12:00', '2024-02-17T13:00', '2024-02-17T14:00', '2024-02-17T15:00', '2024-02-17T16:00', '2024-02-17T17:00', '2024-02-17T18:00', '2024-02-17T19:00', '2024-02-17T20:00', '2024-02-17T21:00', '2024-02-17T22:00', '2024-02-17T23:00', '2024-02-18T00:00', '2024-02-18T01:00', '2024-02-18T02:00', '2024-02-18T03:00', '2024-02-18T04:00', '2024-02-18T05:00', '2024-02-18T06:00', '2024-02-18T07:00', '2024-02-18T08:00', '2024-02-18T09:00', '2024-02-18T10:00', '2024-02-18T11:00', '2024-02-18T12:00', '2024-02-18T13:00', '2024-02-18T14:00', '2024-02-18T15:00', '2024-02-18T16:00', '2024-02-18T17:00', '2024-02-18T18:00', '2024-02-18T19:00', '2024-02-18T20:00', '2024-02-18T21:00', '2024-02-18T22:00', '2024-02-18T23:00', '2024-02-19T00:00', '2024-02-19T01:00', '2024-02-19T02:00', '2024-02-19T03:00', '2024-02-19T04:00', '2024-02-19T05:00', '2024-02-19T06:00', '2024-02-19T07:00', '2024-02-19T08:00', '2024-02-19T09:00', '2024-02-19T10:00', '2024-02-19T11:00', '2024-02-19T12:00', '2024-02-19T13:00', '2024-02-19T14:00', '2024-02-19T15:00', '2024-02-19T16:00', '2024-02-19T17:00', '2024-02-19T18:00', '2024-02-19T19:00', '2024-02-19T20:00', '2024-02-19T21:00', '2024-02-19T22:00', '2024-02-19T23:00', '2024-02-20T00:00', '2024-02-20T01:00', '2024-02-20T02:00', '2024-02-20T03:00', '2024-02-20T04:00', '2024-02-20T05:00', '2024-02-20T06:00', '2024-02-20T07:00', '2024-02-20T08:00', '2024-02-20T09:00', '2024-02-20T10:00', '2024-02-20T11:00', '2024-02-20T12:00', '2024-02-20T13:00', '2024-02-20T14:00', '2024-02-20T15:00', '2024-02-20T16:00', '2024-02-20T17:00', '2024-02-20T18:00', '2024-02-20T19:00', '2024-02-20T20:00', '2024-02-20T21:00', '2024-02-20T22:00', '2024-02-20T23:00']",iso8601,"['2024-02-14', '2024-02-15', '2024-02-16', '2024-02-17', '2024-02-18', '2024-02-19', '2024-02-20']"
relativehumidity_2m,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,%,"[58, 68, 77, 78, 66, 55, 54, 57, 54, 48, 46, 46, 44, 48, 59, 61, 66, 52, 54, 59, 61, 63, 67, 73, 72, 64, 77, 83, 82, 84, 90, 94, 87, 78, 86, 92, 86, 84, 88, 86, 83, 90, 86, 89, 92, 88, 83, 79, 81, 80, 82, 84, 84, 84, 84, 84, 83, 84, 84, 84, 83, 82, 82, 82, 77, 87, 90, 88, 88, 86, 83, 80, 84, 82, 82, 82, 85, 86, 86, 87, 88, 88, 89, 86, 85, 85, 86, 83, 78, 75, 73, 70, 67, 60, 61, 64, 74, 81, 84, 88, 86, 88, 90, 88, 90, 93, 92, 81, 82, 79, 75, 78, 69, 56, 48, 44, 42, 42, 42, 42, 45, 51, 59, 65, 68, 69, 69, 68, 66, 65, 66, 67, 71, 78, 87, 94, 97, 99, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 99, 99, 98, 97, 96, 96, 96, 96, 97, 98, 98, 99, 99, 99, 99, 98, 96, 95, 96, 97]",,
dewpoint_2m,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,°C,"[-3.7, -3.1, -3.4, -4.8, -7.5, -9.6, -9.6, -9.4, -10.4, -11.8, -12.3, -12.4, -12.8, -12.1, -9.5, -8.0, -5.7, -7.0, -5.6, -4.3, -3.3, -2.2, -1.7, -1.4, -1.9, -3.9, -3.2, -3.4, -4.5, -4.4, -3.2, -2.7, -4.4, -6.5, -4.3, -3.4, -4.2, -5.4, -4.1, -4.3, -4.1, -2.9, -2.3, -1.1, -0.4, -0.8, -1.4, -2.0, -1.7, -2.5, -4.7, -4.5, -4.2, -4.0, -3.9, -4.2, -4.0, -4.4, -4.8, -5.1, -5.0, -5.3, -5.6, -5.4, -3.8, -0.9, -0.1, 0.2, 1.2, 1.4, 1.3, 1.0, 1.5, -0.0, -1.5, -2.1, -2.0, -2.4, -2.3, -2.4, -2.5, -2.2, -2.6, -2.5, -2.4, -2.7, -2.8, -2.7, -2.8, -2.3, -1.7, -1.7, -1.5, -2.2, -2.1, -1.5, -0.5, 0.1, 0.1, 0.2, -0.3, -0.5, -0.4, -0.8, -0.7, -0.5, -0.6, -2.3, -3.4, -4.0, -4.5, -5.0, -5.3, -6.7, -7.4, -7.8, -8.1, -7.8, -7.4, -7.2, -6.3, -5.2, -4.1, -3.6, -3.6, -3.9, -4.3, -4.6, -4.8, -5.0, -5.0, -5.1, -4.7, -4.0, -3.2, -2.5, -2.0, -1.2, -0.6, -0.2, 0.2, 0.4, 0.5, 0.6, 0.5, 0.5, 0.4, 0.2, -0.2, -0.6, -1.3, -2.4, -3.7, -4.3, -3.7, -2.5, -1.7, -2.1, -3.0, -3.2, -2.2, -0.5, 0.8, 1.2, 1.1, 1.0, 1.1, 1.0]",,
apparent_temperature,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,°C,"[-1.6, -2.6, -3.6, -5.4, -6.2, -6.0, -5.3, -6.0, -6.7, -6.7, -6.8, -6.9, -7.2, -7.0, -7.5, -6.6, -5.6, -3.8, -2.5, -1.7, -0.7, -1.6, -3.3, -4.7, -4.6, -5.3, -6.3, -6.1, -6.8, -7.0, -5.9, -5.9, -7.5, -8.2, -6.2, -7.5, -7.4, -8.4, -7.9, -7.4, -7.0, -6.8, -6.0, -5.9, -5.1, -4.1, -3.1, -2.5, -2.2, -3.1, -6.0, -6.1, -5.8, -5.5, -5.4, -5.7, -5.4, -5.9, -6.2, -6.5, -6.2, -6.3, -6.5, -6.2, -3.3, -1.7, -1.3, -0.3, 0.5, 1.3, 1.5, 1.8, 1.4, -0.1, -1.9, -2.1, -2.7, -3.4, -3.1, -3.8, -3.9, -3.6, -4.4, -3.7, -2.9, -3.7, -4.2, -3.6, -2.8, -1.7, -0.6, 0.1, 1.8, 1.0, 0.9, 1.0, -0.2, 0.1, -0.8, -1.1, -1.4, -1.6, -1.9, -2.2, -2.5, -3.1, -4.1, -6.9, -9.6, -8.8, -8.0, -7.5, -5.6, -4.2, -2.7, -1.8, -0.9, -0.2, 0.5, 0.8, 1.1, 0.6, -0.3, -1.2, -1.9, -2.5, -3.0, -3.0, -3.0, -3.0, -3.3, -3.6, -4.0, -4.5, -5.0, -5.2, -4.9, -4.3, -3.7, -3.3, -2.8, -2.4, -2.1, -2.0, -2.2, -2.2, -2.3, -2.6, -2.8, -3.3, -4.2, -5.3, -6.5, -7.1, -6.4, -5.0, -4.2, -4.7, -5.7, -6.1, -5.0, -3.3, -2.0, -1.4, -0.7, -0.4, -0.6, -1.0]",,
pressure_msl,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,hPa,"[1017.0, 1016.5, 1016.3, 1017.5, 1016.9, 1016.9, 1017.2, 1017.0, 1016.8, 1016.2, 1015.8, 1015.5, 1015.0, 1015.2, 1016.0, 1016.6, 1016.4, 1016.2, 1016.7, 1016.6, 1015.9, 1015.7, 1015.7, 1015.0, 1014.5, 1013.3, 1014.2, 1014.6, 1014.9, 1015.2, 1015.7, 1016.6, 1017.2, 1017.9, 1018.8, 1019.2, 1019.4, 1019.5, 1020.1, 1021.0, 1022.3, 1023.2, 1023.5, 1023.7, 1023.1, 1022.1, 1021.7, 1021.3, 1021.2, 1021.8, 1022.7, 1023.0, 1023.1, 1023.3, 1023.4, 1023.2, 1023.2, 1022.9, 1022.7, 1022.2, 1021.8, 1021.5, 1021.4, 1021.5, 1021.1, 1020.3, 1019.7, 1019.1, 1018.6, 1017.5, 1017.6, 1017.2, 1017.1, 1017.2, 1017.2, 1017.8, 1017.8, 1017.8, 1018.5, 1017.7, 1016.6, 1016.9, 1017.1, 1016.7, 1016.4, 1016.3, 1014.4, 1015.1, 1015.3, 1014.4, 1013.9, 1013.7, 1013.4, 1012.1, 1011.8, 1011.6, 1009.9, 1010.6, 1010.8, 1011.5, 1012.0, 1012.5, 1011.7, 1011.5, 1010.7, 1011.1, 1012.4, 1013.2, 1013.7, 1014.4, 1014.9, 1015.9, 1016.3, 1015.4, 1014.7, 1014.2, 1013.7, 1013.2, 1012.5, 1011.9, 1011.5, 1011.6, 1012.1, 1012.5, 1012.8, 1013.1, 1013.1, 1012.5, 1011.7, 1010.8, 1010.0, 1009.1, 1008.5, 1008.2, 1008.1, 1008.3, 1008.9, 1009.7, 1010.2, 1010.3, 1010.1, 1009.8, 1009.5, 1009.1, 1008.9, 1009.2, 1009.6, 1010.1, 1010.5, 1010.8, 1011.1, 1011.4, 1011.6, 1011.8, 1011.9, 1011.9, 1012.1, 1012.6, 1013.2, 1013.7, 1013.8, 1013.7, 1013.7, 1013.8, 1014.0, 1014.3, 1014.7, 1015.2]",,
cloudcover,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,%,"[100, 45, 0, 0, 0, 0, 0, 44, 34, 0, 9, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 4, 5, 0, 6, 75, 14, 70, 100, 100, 40, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 93, 100, 97, 85, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 69, 13, 100, 100, 51, 14, 0, 0, 11, 22, 33, 26, 18, 11, 34, 56, 79, 78, 76, 75, 83, 92, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]",,
cloudcover_low,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,%,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 37, 37, 3, 4, 4, 5, 0, 0, 3, 14, 5, 66, 77, 11, 1, 100, 100, 100, 100, 100, 100, 100, 100, 51, 63, 98, 100, 100, 100, 100, 99, 55, 10, 10, 14, 15, 10, 5, 5, 5, 5, 5, 5, 5, 0, 0, 0, 5, 5, 16, 52, 36, 24, 38, 5, 5, 5, 10, 10, 10, 10, 5, 5, 5, 5, 10, 10, 10, 10, 5, 10, 14, 5, 10, 70, 75, 100, 87, 37, 100, 100, 30, 61, 100, 72, 100, 100, 100, 65, 9, 100, 100, 48, 10, 0, 0, 0, 0, 0, 1, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 67, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 80, 61, 41, 61, 80, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 98, 97]",,
cloudcover_mid,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,%,"[100, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 100, 100, 100, 100, 100, 100, 100, 100, 100, 15, 0, 0, 0, 0, 1, 8, 1, 11, 100, 100, 40, 100, 0, 0, 0, 0, 0, 4, 18, 3, 1, 100, 33, 5, 10, 5, 65, 100, 87, 100, 100, 100, 100, 100, 100, 100, 100, 73, 98, 74, 56, 100, 72, 100, 100, 100, 100, 84, 100, 100, 100, 100, 100, 100, 100, 91, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 5, 0, 5, 5, 5, 0, 0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 13, 20, 28, 49, 69, 90, 83, 77, 70, 80, 90, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 93, 87, 80, 77, 75, 72, 81, 91, 100, 89, 79, 68, 71, 74, 77, 85, 92, 100, 100, 100]",,
cloudcover_high,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,%,"[0, 0, 0, 0, 0, 0, 0, 44, 34, 0, 9, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 1, 0, 0, 6, 75, 12, 70, 100, 6, 0, 0, 99, 74, 1, 0, 0, 4, 45, 100, 100, 100, 100, 60, 85, 100, 100, 57, 100, 100, 100, 100, 100, 100, 100, 100, 49, 71, 100, 95, 76, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 57, 100, 100, 100, 100, 100, 100, 100, 0, 5, 100, 100, 100, 5, 5, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 33, 23, 13, 3, 28, 52, 77, 76, 75, 74, 83, 91, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 89, 79, 68, 79, 89, 100, 100, 100, 100, 90, 79, 69, 54, 38, 23, 21, 18, 16, 36, 56, 76, 84, 92]",,
windspeed_10m,38.90618,-119.98674,1.2379884719848633,0,UTC,UTC,1926.0,km/h,"[18.7, 15.0, 7.7, 8.0, 7.9, 7.4, 4.3, 4.9, 7.6, 7.2, 7.9, 8.2, 10.9, 7.0, 12.2, 14.0, 17.9, 18.2, 16.9, 13.4, 10.9, 25.5, 35.4, 36.7, 33.1, 33.4, 28.5, 18.0, 15.8, 15.3, 10.6, 10.6, 15.3, 14.3, 8.5, 18.2, 17.6, 17.1, 19.4, 16.7, 18.1, 19.1, 22.3, 27.7, 25.1, 19.2, 13.0, 9.4, 7.3, 7.6, 8.1, 8.5, 8.2, 7.9, 8.0, 8.0, 8.3, 7.6, 6.8, 6.0, 5.9, 5.8, 5.1, 4.1, 2.3, 2.8, 3.9, 1.3, 3.9, 1.8, 4.0, 2.6, 4.0, 5.2, 5.0, 1.9, 3.3, 4.2, 2.5, 6.1, 4.5, 4.7, 5.6, 5.0, 2.3, 5.1, 5.8, 5.9, 6.4, 5.8, 6.3, 5.2, 5.4, 10.2, 10.1, 9.0, 11.6, 5.2, 8.3, 6.3, 7.1, 4.2, 5.1, 6.3, 7.1, 9.0, 16.1, 34.6, 42.8, 36.3, 31.8, 20.9, 17.3, 15.9, 15.3, 14.3, 13.5, 12.3, 9.5, 6.0, 4.2, 4.0, 5.0, 6.1, 6.6, 6.8, 6.8, 6.6, 6.9, 7.4, 7.9, 8.2, 8.6, 8.1, 7.4, 7.0, 6.6, 6.6, 6.5, 6.3, 6.2, 5.4, 4.0, 3.8, 4.7, 4.1, 4.2, 5.2, 4.4, 4.4, 5.9, 5.9, 4.7, 4.0, 3.8, 3.7, 3.6, 3.4, 3.1, 2.7, 2.9, 4.7, 6.2, 6.2, 5.1, 3.6, 2.0, 3.4]",,
