,timestamp,fromba,generation_type,Usage (MWh)
0,2024-02-11,BANC,Solar,4.135217930464344e-09
1,2024-02-11,BANC,Natural gas,5.820601417012156e-08
2,2024-02-11,BANC,Other,9.388894308622518e-10
3,2024-02-11,BANC,Hydro,5.060767948647678e-08
4,2024-02-10,BANC,Hydro,4.2011175624644226e-08
5,2024-02-10,BANC,Other,8.238809558280977e-10
6,2024-02-10,BANC,Natural gas,4.9439610472274614e-08
7,2024-02-10,BANC,Solar,3.831271548686946e-09
8,2024-02-10,BPAT,Hydro,0.0
9,2024-02-10,BPAT,Wind,0.0
10,2024-02-10,BPAT,Solar,0.0
11,2024-02-10,BPAT,Other,0.0
12,2024-02-10,BPAT,Nuclear,0.0
13,2024-02-10,BPAT,Natural gas,0.0
14,2024-02-10,CISO,Petroleum,inf
15,2024-02-10,CISO,Solar,inf
16,2024-02-10,CISO,Wind,inf
17,2024-02-10,CISO,Nuclear,inf
18,2024-02-10,CISO,Coal,
19,2024-02-10,CISO,Hydro,inf
20,2024-02-10,CISO,Other,-inf
21,2024-02-10,CISO,Natural gas,inf
22,2024-02-10,TIDC,Hydro,0.04928264298524232
23,2024-02-10,TIDC,Natural gas,0.17357014757675937
24,2024-02-09,CISO,Petroleum,1.0290564373022115e-25
25,2024-02-09,CISO,Natural gas,2.435621654805447e-23
26,2024-02-09,CISO,Wind,5.3230717698702405e-24
27,2024-02-09,CISO,Coal,0.0
28,2024-02-09,CISO,Solar,8.585639734751992e-24
29,2024-02-09,CISO,Hydro,4.775835623565106e-24
30,2024-02-09,CISO,Nuclear,5.187649472916715e-24
31,2024-02-09,CISO,Other,5.9295073524848614e-27
32,2024-02-09,BPAT,Other,0.0
33,2024-02-09,BPAT,Hydro,0.0
34,2024-02-09,BPAT,Nuclear,0.0
35,2024-02-09,BPAT,Solar,0.0
36,2024-02-09,BPAT,Natural gas,0.0
37,2024-02-09,BPAT,Wind,0.0
38,2024-02-09,BANC,Natural gas,4.3134627684636335e-08
